id,catalog,messier,caldwell,ngc_ic,name,all_ids,type,mag,constellation,size_arcmin,ra_deg,dec_deg,season
NGC7455,NGC,,,NGC 7455,,NGC 7455,G,15.26,Pisces,0.70,345.17071,7.30306,Autumn
NGC7456,NGC,,,NGC 7456,,NGC 7456,G,11.88,Grus,5.15,345.54342,-39.56939,Unknown
NGC7457,NGC,,,NGC 7457,,NGC 7457,G,10.98,Pegasus,3.95,345.24971,30.14494,Autumn
NGC7458,NGC,,,NGC 7458,,NGC 7458,G,12.54,Pisces,1.03,345.36933,1.75339,Autumn
NGC7459,NGC,,,NGC 7459,,NGC 7459,GPair,,Pisces,1.00,345.24958,6.75000,Autumn
NGC7459 NED01,NGC,,,NGC7459 NED01,,NGC7459 NED01,G,15.37,Pisces,1.32,345.24850,6.74942,Autumn
NGC7459 NED02,NGC,,,NGC7459 NED02,,NGC7459 NED02,G,,Pisces,0.27,345.25087,6.75108,Autumn
NGC7460,NGC,,,NGC 7460,,NGC 7460,G,12.99,Pisces,1.14,345.42879,2.26361,Autumn
NGC7461,NGC,,,NGC 7461,,NGC 7461,G,14.48,Pegasus,0.94,345.45137,15.58247,Autumn
NGC7462,NGC,,,NGC 7462,,NGC 7462,G,12.2,Grus,4.99,345.69371,-40.83525,Unknown
NGC7463,NGC,,,NGC 7463,,NGC 7463,G,13.19,Pegasus,1.58,345.46658,15.98186,Autumn
NGC7464,NGC,,,NGC 7464,,NGC 7464,G,14.43,Pegasus,0.52,345.47375,15.97375,Autumn
NGC7465,NGC,,,NGC 7465,,NGC 7465,G,13.27,Pegasus,1.06,345.50404,15.96478,Autumn
NGC7466,NGC,,,NGC 7466,,NGC 7466,G,14.42,Pegasus,1.54,345.51429,27.05264,Autumn
NGC7467,NGC,,,NGC 7467,,NGC 7467,G,15.38,Pegasus,0.81,345.61450,15.55408,Autumn
NGC7468,NGC,,,NGC 7468,,NGC 7468,G,13.61,Pegasus,0.82,345.74692,16.60525,Autumn
NGC7469,NGC,,,NGC 7469,,NGC 7469,G,12.59,Pegasus,1.38,345.81508,8.87400,Autumn
NGC7470,NGC,,,NGC 7470,,NGC 7470,G,13.73,Grus,1.55,346.30858,-50.11158,Unknown
NGC7471,NGC,,,NGC 7471,,NGC 7471,Other,,Aquarius,,345.97425,-22.90692,Autumn
NGC7472,NGC,,,NGC 7472,,"NGC 7472,NGC 7482",G,14.55,Pisces,0.75,346.41087,3.05925,Autumn
NGC7473,NGC,,,NGC 7473,,NGC 7473,G,14.74,Pegasus,1.09,345.98788,30.16014,Autumn
NGC7474,NGC,,,NGC 7474,,NGC 7474,G,15.01,Pegasus,0.79,346.01846,20.06719,Autumn
NGC7475,NGC,,,NGC 7475,,NGC 7475,GPair,,Pegasus,1.30,346.04542,20.08114,Autumn
NGC7475 NED01,NGC,,,NGC7475 NED01,,NGC7475 NED01,G,14.97,Pegasus,1.41,346.04271,20.07950,Autumn
NGC7475 NED02,NGC,,,NGC7475 NED02,,NGC7475 NED02,G,15.1,Pegasus,0.45,346.04846,20.08503,Autumn
NGC7476,NGC,,,NGC 7476,,NGC 7476,G,13.58,Grus,1.33,346.29946,-43.09936,Unknown
NGC7477,NGC,,,NGC 7477,,NGC 7477,G,16.92,Pisces,0.38,346.16942,3.11800,Autumn
NGC7478,NGC,,,NGC 7478,,NGC 7478,G,16.4,Pisces,0.43,346.23587,2.57778,Autumn
NGC7479,Caldwell,,C44,NGC 7479,,"C44,NGC 7479",G,11.09,Pegasus,3.65,346.23604,12.32289,Autumn
NGC7480,NGC,,,NGC 7480,,NGC 7480,G,14.81,Pisces,1.32,346.30675,2.54942,Autumn
NGC7481,NGC,,,NGC 7481,,NGC 7481,Other,,Aquarius,,346.46508,-19.93967,Autumn
NGC7483,NGC,,,NGC 7483,,NGC 7483,G,14.22,Pisces,1.43,346.45121,3.54511,Autumn
NGC7484,NGC,,,NGC 7484,,NGC 7484,G,12.98,Sculptor,1.09,346.77046,-36.27536,Unknown
NGC7485,NGC,,,NGC 7485,,NGC 7485,G,14.15,Pegasus,1.51,346.52025,34.10769,Autumn
NGC7486,NGC,,,NGC 7486,,NGC 7486,Other,,Pegasus,,346.55408,34.10150,Autumn
NGC7487,NGC,,,NGC 7487,,"NGC 7487,NGC 7210",G,14.72,Pegasus,1.80,346.71058,28.17903,Autumn
NGC7488,NGC,,,NGC 7488,,NGC 7488,G,14.64,Pisces,0.62,346.95396,0.94053,Autumn
NGC7489,NGC,,,NGC 7489,,NGC 7489,G,14.23,Pegasus,1.22,346.88629,22.99800,Autumn
NGC7490,NGC,,,NGC 7490,,NGC 7490,G,12.69,Pegasus,1.81,346.85488,32.37506,Autumn
NGC7491,NGC,,,NGC 7491,,NGC 7491,G,14.51,Aquarius,0.84,347.02492,-5.96667,Autumn
NGC7492,NGC,,,NGC 7492,,NGC 7492,GCl,10.48,Aquarius,3.00,347.11117,-15.61147,Autumn
NGC7493,NGC,,,NGC 7493,,NGC 7493,*,,Pisces,,347.13179,0.91000,Autumn
NGC7494,NGC,,,NGC 7494,,NGC 7494,G,15.21,Aquarius,0.87,347.24408,-24.36958,Summer
NGC7495,NGC,,,NGC 7495,,NGC 7495,G,13.12,Pegasus,1.61,347.23825,12.04803,Autumn
NGC7496,NGC,,,NGC 7496,,NGC 7496,G,12.73,Grus,3.40,347.44704,-43.42794,Unknown
NGC7496A,NGC,,,NGC 7496A,,NGC 7496A,G,14.61,Grus,1.44,348.09700,-43.77819,Unknown
NGC7497,NGC,,,NGC 7497,,NGC 7497,G,12.28,Pegasus,2.75,347.26421,18.17719,Autumn
